level,start,Start Level %,Complete Level %,Win Rate %,During Level %,Between Level %,fail rate %,churn rate %
1,170,0.8629441624365483,0.868020304568528,1.0058823529411764,0.005076142131979695,null,0,-0.00588235294117645
2,167,0.8477157360406091,0.8477157360406091,1,0,-0.023391812865497075,0,0
3,161,0.817258883248731,0.8121827411167513,0.9937888198757764,-0.005076142131979695,-0.03592814371257485,0,0.006211180124223614
4,156,0.7918781725888325,0.7918781725888325,1,0,-0.025,0,0
5,151,0.766497461928934,0.766497461928934,1,0,-0.03205128205128205,0.006535947712418277,0
6,147,0.7461928934010152,0.7461928934010152,1,0,-0.026490066225165563,0,0
7,143,0.7258883248730964,0.7258883248730964,1,0,-0.027210884353741496,0,0
8,134,0.6802030456852792,0.6802030456852792,1,0,-0.06293706293706294,0,0
9,128,0.649746192893401,0.649746192893401,1,0,-0.04477611940298507,0,0
10,128,0.649746192893401,0.6446700507614214,0.9921875,-0.005076142131979695,0,0.030303030303030276,0.0078125
11,118,0.5989847715736041,0.5888324873096447,0.9830508474576272,-0.01015228426395939,-0.07086614173228346,0.032786885245901676,0.016949152542372836
12,105,0.5329949238578681,0.5279187817258884,0.9904761904761905,-0.005076142131979695,-0.09482758620689655,0,0.00952380952380949
13,102,0.5177664974619289,0.5177664974619289,1,0,-0.019230769230769232,0.0535714285714286,0
14,94,0.47715736040609136,0.4720812182741117,0.9893617021276596,-0.005076142131979695,-0.0784313725490196,0,0.010638297872340385
15,90,0.45685279187817257,0.45685279187817257,1,0,-0.03225806451612903,0.021505376344086002,0
16,87,0.4416243654822335,0.4416243654822335,1,0,-0.03333333333333333,0,0
17,83,0.4213197969543147,0.4213197969543147,1,0,-0.04597701149425287,0,0
18,83,0.4213197969543147,0.4213197969543147,1,0,0,0,0
19,79,0.4010152284263959,0.4010152284263959,1,0,-0.04819277108433735,0,0
20,74,0.3756345177664975,0.38578680203045684,1.027027027027027,0.01015228426395939,-0.06329113924050633,0.0714285714285714,-0.027027027027026973
21,77,0.39086294416243655,0.3756345177664975,0.961038961038961,-0.015228426395939087,0.013157894736842105,0.24489795918367352,0.038961038961038974
22,68,0.34517766497461927,0.34517766497461927,1,0,-0.0684931506849315,0,0
23,67,0.3401015228426396,0.3401015228426396,1,0,-0.014705882352941176,0.014705882352941124,0
24,67,0.3401015228426396,0.3401015228426396,1,0,0,0.02898550724637683,0
25,68,0.34517766497461927,0.3401015228426396,0.9852941176470589,-0.005076142131979695,0.014925373134328358,0.11842105263157898,0.014705882352941124
26,63,0.3197969543147208,0.3197969543147208,1,0,-0.05970149253731343,0.015625,0
27,63,0.3197969543147208,0.3248730964467005,1.0158730158730158,0.005076142131979695,0,0,-0.015873015873015817
28,63,0.3197969543147208,0.3197969543147208,1,0,0,0.03076923076923077,0
29,63,0.3197969543147208,0.3197969543147208,1,0,0,0.015625,0
30,63,0.3197969543147208,0.3197969543147208,1,0,0,0,0
31,61,0.3096446700507614,0.3096446700507614,1,0,-0.031746031746031744,0,0
32,59,0.29949238578680204,0.2893401015228426,0.9661016949152542,-0.01015228426395939,-0.03278688524590164,0.017241379310344862,0.03389830508474578
33,54,0.27411167512690354,0.27411167512690354,1,0,-0.05263157894736842,0,0
34,53,0.26903553299492383,0.2639593908629442,0.9811320754716981,-0.005076142131979695,-0.018518518518518517,0,0.018867924528301883
35,50,0.25380710659898476,0.25380710659898476,1,0,-0.0196078431372549,0.019230769230769273,0
36,49,0.24873096446700507,0.24873096446700507,1,0,-0.02,0,0
37,49,0.24873096446700507,0.24873096446700507,1,0,0,0.1694915254237288,0
38,49,0.24873096446700507,0.24873096446700507,1,0,0,0.020000000000000018,0
39,49,0.24873096446700507,0.24873096446700507,1,0,-0.02,0.05769230769230771,0
40,50,0.25380710659898476,0.25380710659898476,1,0,0.02040816326530612,0.1228070175438597,0
41,48,0.2436548223350254,0.23857868020304568,0.9791666666666666,-0.005076142131979695,-0.04,0.02083333333333337,0.02083333333333337
42,48,0.2436548223350254,0.2436548223350254,1,0,0.02127659574468085,0.09259259259259256,0
43,44,0.2233502538071066,0.2233502538071066,1,0,-0.06382978723404255,0.13725490196078427,0
44,43,0.2182741116751269,0.2182741116751269,1,0,-0.022727272727272728,0,0
45,43,0.2182741116751269,0.2182741116751269,1,0,0,0,0
46,42,0.2131979695431472,0.2131979695431472,1,0,-0.023255813953488372,0.06666666666666665,0
47,41,0.20812182741116753,0.2131979695431472,1.024390243902439,0.005076142131979695,-0.023809523809523808,0,-0.024390243902439046
48,41,0.20812182741116753,0.20812182741116753,1,0,-0.023809523809523808,0.046511627906976716,0
49,41,0.20812182741116753,0.20812182741116753,1,0,0,0.13461538461538458,0
50,41,0.20812182741116753,0.20304568527918782,0.975609756097561,-0.005076142131979695,0,0.18367346938775508,0.024390243902439046
51,40,0.20304568527918782,0.20812182741116753,1.025,0.005076142131979695,0,0,-0.02499999999999991
52,40,0.20304568527918782,0.19796954314720813,0.975,-0.005076142131979695,-0.024390243902439025,0,0.025000000000000022
53,40,0.20304568527918782,0.20304568527918782,1,0,0.02564102564102564,0,0
54,41,0.20812182741116753,0.20812182741116753,1,0,0.025,0.06818181818181823,0
55,41,0.20812182741116753,0.20812182741116753,1,0,0,0,0
56,40,0.20304568527918782,0.20304568527918782,1,0,-0.024390243902439025,0,0
57,38,0.19289340101522842,0.19289340101522842,1,0,-0.05,0,0
58,38,0.19289340101522842,0.19289340101522842,1,0,0,0.02564102564102566,0
59,38,0.19289340101522842,0.19289340101522842,1,0,0,0.02564102564102566,0
60,38,0.19289340101522842,0.19289340101522842,1,0,0,0.24528301886792447,0
61,38,0.19289340101522842,0.19289340101522842,1,0,0,0,0
62,38,0.19289340101522842,0.19289340101522842,1,0,0,0.2692307692307693,0
63,36,0.18274111675126903,0.17258883248730963,0.9444444444444444,-0.01015228426395939,-0.05263157894736842,0.2941176470588235,0.05555555555555558
64,35,0.17766497461928935,0.18274111675126903,1.0285714285714285,0.005076142131979695,0.029411764705882353,0,-0.02857142857142847
65,36,0.18274111675126903,0.18274111675126903,1,0,0,0.052631578947368474,0
66,37,0.18781725888324874,0.18274111675126903,0.972972972972973,-0.005076142131979695,0,0,0.027027027027026973
67,36,0.18274111675126903,0.18274111675126903,1,0,0,0.027027027027026973,0
68,35,0.17766497461928935,0.17258883248730963,0.9714285714285714,-0.005076142131979695,-0.027777777777777776,0,0.02857142857142858
69,35,0.17766497461928935,0.17766497461928935,1,0,0.029411764705882353,0,0
70,35,0.17766497461928935,0.17766497461928935,1,0,0,0.02777777777777779,0
71,35,0.17766497461928935,0.17766497461928935,1,0,0,0.02777777777777779,0
72,34,0.17258883248730963,0.17258883248730963,1,0,-0.02857142857142857,0,0
73,34,0.17258883248730963,0.17258883248730963,1,0,0,0.05555555555555558,0
74,34,0.17258883248730963,0.17258883248730963,1,0,0,0,0
75,34,0.17258883248730963,0.17258883248730963,1,0,0,0,0
76,31,0.15736040609137056,0.15736040609137056,1,0,-0.08823529411764706,0,0
77,30,0.15228426395939088,0.14720812182741116,0.9666666666666667,-0.005076142131979695,-0.03225806451612903,0.09090909090909094,0.033333333333333326
78,29,0.14720812182741116,0.14720812182741116,1,0,0,0,0
79,28,0.14213197969543148,0.14213197969543148,1,0,-0.034482758620689655,0,0
80,29,0.14720812182741116,0.14720812182741116,1,0,0.03571428571428571,0,0
81,29,0.14720812182741116,0.14720812182741116,1,0,0,0.06451612903225812,0
82,29,0.14720812182741116,0.14720812182741116,1,0,0,0.1470588235294118,0
83,29,0.14720812182741116,0.14720812182741116,1,0,0,0,0
84,30,0.15228426395939088,0.15228426395939088,1,0,0.034482758620689655,0.032258064516129004,0
85,30,0.15228426395939088,0.15228426395939088,1,0,0,0.11764705882352944,0
86,29,0.14720812182741116,0.14720812182741116,1,0,-0.03333333333333333,0.033333333333333326,0
87,29,0.14720812182741116,0.14720812182741116,1,0,0,0.1842105263157895,0
88,29,0.14720812182741116,0.14720812182741116,1,0,0,0,0
89,29,0.14720812182741116,0.14720812182741116,1,0,0,0.033333333333333326,0
90,29,0.14720812182741116,0.14720812182741116,1,0,0,0.2682926829268293,0
91,29,0.14720812182741116,0.14720812182741116,1,0,0,0.06451612903225812,0
92,29,0.14720812182741116,0.14213197969543148,0.9655172413793104,-0.005076142131979695,0,0.33333333333333337,0.03448275862068961
93,29,0.14720812182741116,0.14720812182741116,1,0,0.03571428571428571,0,0
94,30,0.15228426395939088,0.15228426395939088,1,0,0.034482758620689655,0,0
95,30,0.15228426395939088,0.15228426395939088,1,0,0,0.032258064516129004,0
96,30,0.15228426395939088,0.15228426395939088,1,0,0,0,0
97,30,0.15228426395939088,0.15228426395939088,1,0,0,0.5584415584415585,0
98,30,0.15228426395939088,0.15228426395939088,1,0,0,0.0625,0
99,30,0.15228426395939088,0.15228426395939088,1,0,0,0,0
100,29,0.14720812182741116,0.14720812182741116,1,0,-0.03333333333333333,0,0
101,28,0.14213197969543148,0.14720812182741116,1.0357142857142858,0.005076142131979695,-0.034482758620689655,0,-0.03571428571428581
102,30,0.15228426395939088,0.15228426395939088,1,0,0.034482758620689655,0.032258064516129004,0
