level,Avg time spent (minutes),Median time spent (minutes),Cumulative avg time spent (minutes),%User having more than one attempt,avg attempts,median attempts
1,0.2684210526315789,0.15,0.2684210526315789,0.005714285714285714,0.9771428571428571,1
2,0.1510978043912176,0.11666666666666667,0.41951885702279645,0.011976047904191617,1.0119760479041917,1
3,0.2014583333333332,0.16666666666666666,0.6209771903561296,0.006211180124223602,1.0124223602484472,1
4,0.23344017094017083,0.21666666666666667,0.8544173612963004,0.01282051282051282,1.0128205128205128,1
5,0.8119205298013248,0.5833333333333334,1.6663378910976252,0.006578947368421052,1,1
6,0.6639455782312925,0.5166666666666667,2.3302834693289176,0.006802721088435374,1.0068027210884354,1
7,0.39172494172494204,0.36666666666666664,2.7220084110538596,0.006993006993006993,1.006993006993007,1
8,0.32462686567164184,0.3,3.0466352767255014,0.007462686567164179,1.007462686567164,1
9,0.36354166666666665,0.3333333333333333,3.410176943392168,0,1,1
10,1.0161417322834647,0.6666666666666666,4.426318675675633,0.03125,1.03125,1
11,1.6341880341880337,1,6.060506709863667,0.03389830508474576,1.0508474576271187,1
12,0.38573717948717945,0.35,6.446243889350846,0,1,1
13,2.8735294117647054,1.8666666666666667,9.319773301115552,0.07766990291262135,1.087378640776699,1
14,1.6627240143369175,1.0166666666666666,10.98249731545247,0.010638297872340425,1.0106382978723405,1
15,1.2224074074074076,1.0166666666666666,12.204904722859878,0.022222222222222223,1.0333333333333334,1
16,3.1208812260536405,0.4666666666666667,15.325785948913518,0.011494252873563218,1.0114942528735633,1
17,0.48273092369477916,0.4,15.808516872608298,0.024096385542168676,1.036144578313253,1
18,0.7997991967871487,0.6833333333333333,16.608316069395446,0.012048192771084338,1.0120481927710843,1
19,0.706751054852321,0.6333333333333333,17.31506712424777,0,0.9875,1
20,1.2962719298245613,1.05,18.61133905407233,0.10526315789473684,1.0789473684210527,1
21,6.399774774774775,3.6333333333333333,25.011113828847108,0.15584415584415584,1.3116883116883118,1
22,1.1720588235294118,1.0166666666666666,26.18317265237652,0,1,1
23,1.305721393034825,0.8166666666666667,27.488894045411346,0.014925373134328358,1.0149253731343284,1
24,0.9542288557213929,0.9166666666666666,28.44312290113274,0.029850746268656716,1.0298507462686568,1
25,4.8517412935323385,1.5166666666666666,33.29486419466508,0.07352941176470588,1.1176470588235294,1
26,0.6201058201058199,0.5666666666666667,33.9149700147709,0.015873015873015872,1.0158730158730158,1
27,0.5911458333333331,0.55,34.50611584810424,0,0.984375,1
28,1.0597883597883597,0.7,35.56590420789259,0.031746031746031744,1.0317460317460319,1
29,0.8182539682539686,0.7,36.38415817614656,0.015873015873015872,1.0158730158730158,1
30,0.6277777777777778,0.5833333333333334,37.01193595392434,0.015873015873015872,1.0317460317460319,1
31,1.1666666666666667,0.43333333333333335,38.17860262059101,0,1,1
32,0.9897660818713448,0.8666666666666667,39.16836870246235,0.01694915254237288,1.0169491525423728,1
33,0.43086419753086425,0.4,39.59923289999322,0,1,1
34,1.3625000000000003,1.1166666666666667,40.961732899993216,0.018867924528301886,1.0188679245283019,1
35,0.8783333333333333,0.8,41.840066233326546,0.04,1.04,1
36,0.6782312925170069,0.5666666666666667,42.51829752584355,0,1,1
37,1.4799319727891156,1.3166666666666667,43.99822949863267,0.16326530612244897,1.2040816326530612,1
38,0.953061224489796,0.8166666666666667,44.95129072312246,0.02040816326530612,1.0204081632653061,1
39,0.7928571428571426,0.75,45.744147865979606,0.061224489795918366,1.0612244897959184,1
40,1.8663333333333327,1.5,47.610481199312936,0.08,1.14,1
41,0.749645390070922,0.6,48.36012658938386,0.020833333333333332,1.0208333333333333,1
42,2.9010416666666665,1.5666666666666667,51.261168256050524,0.10416666666666667,1.1458333333333333,1
43,0.6003787878787881,0.55,51.86154704392931,0.045454545454545456,1.1590909090909092,1
44,0.6267441860465116,0.5833333333333334,52.48829122997582,0,1,1
45,0.5131782945736434,0.5,53.001469524549464,0,1,1
46,0.9972222222222222,0.8333333333333334,53.998691746771684,0.07142857142857142,1.0714285714285714,1
47,0.5932539682539685,0.5333333333333333,54.59194571502565,0,0.9761904761904762,1
48,1.9231707317073172,1.05,56.51511644673297,0.024390243902439025,1.048780487804878,1
49,8.412601626016258,1.0166666666666666,64.92771807274923,0.07317073170731707,1.2682926829268293,1
50,1.8762499999999995,1.1833333333333333,66.80396807274923,0.12195121951219512,1.2439024390243902,1
51,0.47195121951219515,0.4666666666666667,67.27591929226142,0.024390243902439025,1,1
52,0.5632478632478632,0.5166666666666667,67.83916715550929,0,1,1
53,0.9687500000000003,0.6333333333333333,68.80791715550929,0.025,1.025,1
54,1.3016260162601627,1,70.10954317176945,0.04878048780487805,1.0731707317073171,1
55,1.033739837398374,0.8333333333333334,71.14328300916782,0,1,1
56,0.9966666666666665,0.8,72.13994967583449,0,1,1
57,0.9013157894736844,0.85,73.04126546530817,0,1,1
58,0.46447368421052637,0.45,73.5057391495187,0.02631578947368421,1.0263157894736843,1
59,1.0065789473684212,0.95,74.51231809688713,0.02631578947368421,1.0263157894736843,1
60,4.817982456140351,1.7,79.33030055302748,0.18421052631578946,1.394736842105263,1
61,1.5276315789473685,0.5666666666666667,80.85793213197485,0,1,1
62,2.4438596491228073,1.7833333333333334,83.30179178109766,0.15789473684210525,1.368421052631579,1
63,4.171078431372549,2.7333333333333334,87.47287021247021,0.2222222222222222,1.4722222222222223,1
64,1.8115740740740744,0.9833333333333333,89.28444428654429,0,0.9722222222222222,1
65,1.2712962962962964,0.9,90.55574058284058,0.05555555555555555,1.0555555555555556,1
66,0.799074074074074,0.7166666666666667,91.35481465691466,0.02702702702702703,1.027027027027027,1
67,1.5430555555555556,1.2833333333333334,92.89787021247021,0.027777777777777776,1.0277777777777777,1
68,0.4230392156862745,0.4166666666666667,93.32090942815648,0,1,1
69,1.1142857142857145,0.75,94.4351951424422,0,1,1
70,6.670476190476191,1.2333333333333334,101.10567133291839,0.02857142857142857,1.0285714285714285,1
71,1.18,1.0333333333333334,102.2856713329184,0.02857142857142857,1.0285714285714285,1
72,0.8720588235294116,0.7666666666666667,103.15773015644781,0.029411764705882353,1.0294117647058822,1
73,0.723529411764706,0.6333333333333333,103.88125956821251,0.058823529411764705,1.0588235294117647,1
74,1.297549019607843,1.1166666666666667,105.17880858782036,0,1,1
75,1.0034313725490196,0.9,106.18223996036937,0,1,1
76,0.6129032258064518,0.6,106.79514318617582,0,1,1
77,2.2959770114942533,2.0833333333333335,109.09112019767008,0.13333333333333333,1.1333333333333333,1
78,0.48850574712643674,0.4666666666666667,109.57962594479652,0,1,1
79,0.7404761904761905,0.6833333333333333,110.3201021352727,0,1,1
80,0.6379310344827588,0.5833333333333334,110.95803316975547,0,1,1
81,1.0931034482758621,0.85,112.05113661803134,0.06896551724137931,1.0689655172413792,1
82,1.5304597701149425,1.2,113.58159638814628,0.06896551724137931,1.1724137931034482,1
83,0.643103448275862,0.6333333333333333,114.22469983642215,0,1,1
